,gpu usage(%),mem usage(%),mem usage(MB)
0,0 %, 0 %, 10 MiB
1,0 %, 0 %, 10 MiB
2,0 %, 0 %, 10 MiB
3,0 %, 0 %, 10 MiB
4,0 %, 0 %, 145 MiB
5,0 %, 0 %, 145 MiB
6,0 %, 0 %, 145 MiB
7,0 %, 0 %, 145 MiB
8,0 %, 0 %, 145 MiB
9,0 %, 0 %, 2289 MiB
10,0 %, 0 %, 2289 MiB
11,0 %, 0 %, 2289 MiB
12,0 %, 0 %, 8469 MiB
13,0 %, 0 %, 8469 MiB
14,99 %, 62 %, 8469 MiB
15,90 %, 62 %, 8469 MiB
16,99 %, 59 %, 8469 MiB
17,99 %, 59 %, 8469 MiB
18,88 %, 63 %, 8469 MiB
19,99 %, 59 %, 8469 MiB
20,86 %, 63 %, 8469 MiB
21,0 %, 0 %, 8469 MiB
22,0 %, 0 %, 8469 MiB
23,97 %, 58 %, 8469 MiB
24,0 %, 0 %, 8469 MiB
25,0 %, 0 %, 8469 MiB
26,99 %, 59 %, 8469 MiB
27,86 %, 60 %, 8469 MiB
28,91 %, 59 %, 8469 MiB
29,96 %, 63 %, 8469 MiB
30,93 %, 56 %, 8469 MiB
31,95 %, 70 %, 8469 MiB
32,99 %, 56 %, 8469 MiB
33,90 %, 63 %, 8469 MiB
34,93 %, 57 %, 8469 MiB
35,92 %, 68 %, 8469 MiB
36,99 %, 57 %, 8469 MiB
37,94 %, 52 %, 8469 MiB
38,99 %, 57 %, 8469 MiB
39,84 %, 52 %, 8469 MiB
40,99 %, 59 %, 8469 MiB
41,99 %, 56 %, 8469 MiB
42,99 %, 55 %, 8469 MiB
43,92 %, 57 %, 8469 MiB
44,83 %, 60 %, 8469 MiB
45,99 %, 56 %, 8469 MiB
46,99 %, 57 %, 8469 MiB
47,99 %, 56 %, 8469 MiB
48,86 %, 47 %, 8469 MiB
49,87 %, 60 %, 8469 MiB
50,82 %, 56 %, 8469 MiB
51,90 %, 62 %, 8469 MiB
52,99 %, 59 %, 8469 MiB
53,99 %, 57 %, 8469 MiB
54,0 %, 0 %, 8469 MiB
55,0 %, 0 %, 10 MiB
56,0 %, 0 %, 10 MiB
57,0 %, 0 %, 10 MiB
58,0 %, 0 %, 10 MiB
59,0 %, 0 %, 10 MiB
60,0 %, 0 %, 10 MiB
61,0 %, 0 %, 10 MiB
62,0 %, 0 %, 10 MiB
63,0 %, 0 %, 10 MiB
64,0 %, 0 %, 10 MiB
65,0 %, 0 %, 10 MiB
66,0 %, 0 %, 10 MiB
67,0 %, 0 %, 10 MiB
68,0 %, 0 %, 10 MiB
69,0 %, 0 %, 10 MiB
70,0 %, 0 %, 10 MiB
71,0 %, 0 %, 10 MiB
72,0 %, 0 %, 10 MiB
73,0 %, 0 %, 10 MiB
74,0 %, 0 %, 10 MiB
75,0 %, 0 %, 10 MiB
76,0 %, 0 %, 10 MiB
77,0 %, 0 %, 10 MiB
78,0 %, 0 %, 10 MiB
79,0 %, 0 %, 10 MiB
80,0 %, 0 %, 10 MiB
81,0 %, 0 %, 10 MiB
82,0 %, 0 %, 10 MiB
83,0 %, 0 %, 10 MiB
84,0 %, 0 %, 10 MiB
85,0 %, 0 %, 10 MiB
86,0 %, 0 %, 10 MiB
87,0 %, 0 %, 10 MiB
88,0 %, 0 %, 10 MiB
89,0 %, 0 %, 10 MiB
90,0 %, 0 %, 10 MiB
91,0 %, 0 %, 10 MiB
92,0 %, 0 %, 10 MiB
93,0 %, 0 %, 10 MiB
94,0 %, 0 %, 10 MiB
95,0 %, 0 %, 10 MiB
96,0 %, 0 %, 10 MiB
97,0 %, 0 %, 10 MiB
98,0 %, 0 %, 10 MiB
99,0 %, 0 %, 10 MiB
100,0 %, 0 %, 10 MiB
101,0 %, 0 %, 10 MiB
102,0 %, 0 %, 10 MiB
103,0 %, 0 %, 10 MiB
104,0 %, 0 %, 10 MiB
105,0 %, 0 %, 10 MiB
106,0 %, 0 %, 10 MiB
107,0 %, 0 %, 10 MiB
108,0 %, 0 %, 10 MiB
109,0 %, 0 %, 10 MiB
110,0 %, 0 %, 10 MiB
111,0 %, 0 %, 10 MiB
112,0 %, 0 %, 10 MiB
113,0 %, 0 %, 10 MiB
114,0 %, 0 %, 10 MiB
115,0 %, 0 %, 10 MiB
116,0 %, 0 %, 10 MiB
117,0 %, 0 %, 10 MiB
118,0 %, 0 %, 10 MiB
119,0 %, 0 %, 10 MiB
120,0 %, 0 %, 10 MiB
121,0 %, 0 %, 10 MiB
122,0 %, 0 %, 10 MiB
123,0 %, 0 %, 10 MiB
124,0 %, 0 %, 10 MiB
125,0 %, 0 %, 10 MiB
126,0 %, 0 %, 10 MiB
127,0 %, 0 %, 10 MiB
128,0 %, 0 %, 10 MiB
129,0 %, 0 %, 10 MiB
130,0 %, 0 %, 10 MiB
131,0 %, 0 %, 10 MiB
132,0 %, 0 %, 10 MiB
133,0 %, 0 %, 10 MiB
134,0 %, 0 %, 10 MiB
135,0 %, 0 %, 10 MiB
136,0 %, 0 %, 145 MiB
137,0 %, 0 %, 145 MiB
138,0 %, 0 %, 145 MiB
139,0 %, 0 %, 145 MiB
140,0 %, 0 %, 145 MiB
141,0 %, 0 %, 145 MiB
142,0 %, 0 %, 145 MiB
143,0 %, 0 %, 145 MiB
144,0 %, 0 %, 145 MiB
145,0 %, 0 %, 2293 MiB
146,0 %, 0 %, 2293 MiB
147,0 %, 0 %, 2293 MiB
148,0 %, 0 %, 2293 MiB
149,0 %, 0 %, 2293 MiB
150,0 %, 0 %, 2293 MiB
151,0 %, 0 %, 8473 MiB
152,0 %, 0 %, 8473 MiB
153,0 %, 0 %, 8473 MiB
154,0 %, 0 %, 8473 MiB
155,0 %, 0 %, 8473 MiB
156,83 %, 42 %, 8473 MiB
157,97 %, 53 %, 8473 MiB
158,84 %, 59 %, 8473 MiB
159,90 %, 39 %, 8473 MiB
160,94 %, 69 %, 8473 MiB
161,77 %, 37 %, 8473 MiB
162,0 %, 0 %, 8473 MiB
163,0 %, 0 %, 8473 MiB
164,0 %, 0 %, 8473 MiB
165,0 %, 0 %, 8473 MiB
166,0 %, 0 %, 8473 MiB
167,0 %, 0 %, 8473 MiB
168,0 %, 0 %, 8473 MiB
169,0 %, 0 %, 8473 MiB
170,0 %, 0 %, 8473 MiB
171,0 %, 0 %, 8473 MiB
172,0 %, 0 %, 8473 MiB
173,0 %, 0 %, 8473 MiB
174,0 %, 0 %, 8473 MiB
175,90 %, 39 %, 8473 MiB
176,92 %, 66 %, 8473 MiB
177,77 %, 44 %, 8473 MiB
178,92 %, 41 %, 8473 MiB
179,86 %, 63 %, 8473 MiB
180,87 %, 65 %, 8473 MiB
181,85 %, 43 %, 8473 MiB
182,97 %, 54 %, 8473 MiB
183,78 %, 43 %, 8473 MiB
184,95 %, 50 %, 8473 MiB
185,80 %, 46 %, 8473 MiB
186,92 %, 39 %, 8473 MiB
187,87 %, 35 %, 8473 MiB
188,92 %, 65 %, 8473 MiB
189,89 %, 47 %, 8473 MiB
190,92 %, 58 %, 8473 MiB
191,79 %, 46 %, 8473 MiB
192,96 %, 53 %, 8473 MiB
193,80 %, 47 %, 8473 MiB
194,84 %, 59 %, 8473 MiB
195,83 %, 33 %, 8473 MiB
196,84 %, 60 %, 8473 MiB
197,0 %, 0 %, 8473 MiB
198,0 %, 0 %, 8473 MiB
199,0 %, 0 %, 10 MiB
200,0 %, 0 %, 10 MiB
201,0 %, 0 %, 10 MiB
202,0 %, 0 %, 10 MiB
203,0 %, 0 %, 10 MiB
204,0 %, 0 %, 10 MiB
205,0 %, 0 %, 10 MiB
206,0 %, 0 %, 10 MiB
207,0 %, 0 %, 10 MiB
208,0 %, 0 %, 10 MiB
209,0 %, 0 %, 10 MiB
210,0 %, 0 %, 10 MiB
211,0 %, 0 %, 10 MiB
212,0 %, 0 %, 10 MiB
213,0 %, 0 %, 10 MiB
214,0 %, 0 %, 10 MiB
215,0 %, 0 %, 10 MiB
216,0 %, 0 %, 10 MiB
217,0 %, 0 %, 10 MiB
218,0 %, 0 %, 10 MiB
219,0 %, 0 %, 10 MiB
220,0 %, 0 %, 10 MiB
221,0 %, 0 %, 10 MiB
222,0 %, 0 %, 10 MiB
223,0 %, 0 %, 10 MiB
224,0 %, 0 %, 10 MiB
225,0 %, 0 %, 10 MiB
226,0 %, 0 %, 10 MiB
227,0 %, 0 %, 10 MiB
228,0 %, 0 %, 10 MiB
229,0 %, 0 %, 10 MiB
230,0 %, 0 %, 10 MiB
231,0 %, 0 %, 10 MiB
232,0 %, 0 %, 10 MiB
233,0 %, 0 %, 10 MiB
234,0 %, 0 %, 10 MiB
235,0 %, 0 %, 10 MiB
236,0 %, 0 %, 10 MiB
237,0 %, 0 %, 10 MiB
238,0 %, 0 %, 10 MiB
239,0 %, 0 %, 10 MiB
240,0 %, 0 %, 10 MiB
241,0 %, 0 %, 10 MiB
242,0 %, 0 %, 10 MiB
243,0 %, 0 %, 10 MiB
244,0 %, 0 %, 10 MiB
245,0 %, 0 %, 10 MiB
246,0 %, 0 %, 10 MiB
247,0 %, 0 %, 10 MiB
248,0 %, 0 %, 10 MiB
249,0 %, 0 %, 10 MiB
250,0 %, 0 %, 10 MiB
251,0 %, 0 %, 10 MiB
252,0 %, 0 %, 10 MiB
253,0 %, 0 %, 10 MiB
254,0 %, 0 %, 10 MiB
255,0 %, 0 %, 10 MiB
256,0 %, 0 %, 10 MiB
257,0 %, 0 %, 10 MiB
258,0 %, 0 %, 10 MiB
259,0 %, 0 %, 10 MiB
260,0 %, 0 %, 10 MiB
261,0 %, 0 %, 10 MiB
